,Price
0,549
1,270
2,410
3,239
4,299
5,274
6,435
7,222
8,149
9,339
10,339
11,330
12,193
13,348
14,299
15,253
16,269
17,187
18,266
19,308
20,449
21,349
22,449
23,173
24,299
25,345
26,286
27,145
28,299
29,329
30,410
31,310
32,613
33,369
34,349
35,332
36,499
37,199
38,240
39,345
40,308
41,339
42,253
43,274
44,329
45,409
46,449
47,278
48,410
49,299
50,320
51,410
52,222
53,298
54,399
55,286
56,369
57,165
58,468
59,412
60,308
61,298
62,299
63,380
64,234
65,277
66,299
67,193
68,330
69,449
70,243
71,299
72,200
73,261
74,299
75,299
76,298
77,299
78,160
79,225
80,253
81,188
82,299
83,325
84,499
85,308
86,339
87,253
88,274
89,329
90,639
91,179
92,299
93,286
94,320
95,365
96,411
97,304
98,201
99,166
100,369
101,338
102,376
103,289
104,179
105,217
106,399
107,399
108,400
109,136
110,298
111,499
112,339
113,235
114,549
115,298
116,315
117,849
118,276
119,375
120,286
121,616
122,154
123,219
124,278
125,409
126,599
127,189
128,249
129,409
130,308
131,339
132,253
133,274
134,329
