,Ratings
0,4.5
1,4.5
2,4.7
3,4.7
4,4.5
5,4.5
6,4.7
7,4.5
8,4.5
9,4.5
10,4.7
11,4.5
12,4.5
13,4.5
14,4.5
15,4.5
16,4.5
17,4.5
18,4.5
19,4.7
20,4.5
21,4.5
22,4.7
23,4.5
24,4.7
25,5.0
26,4.0
27,4.7
28,5.0
29,5.0
30,4.5
31,5.0
32,5.0
33,4.5
34,5.0
35,4.0
36,4.7
37,5.0
38,5.0
39,4.5
40,4.7
41,4.7
42,4.5
43,4.6
44,4.6
45,4.6
46,4.7
47,4.5
48,4.5
49,4.6
50,4.6
51,4.7
52,4.6
53,4.6
54,4.6
55,4.5
56,4.6
57,4.7
58,4.6
59,4.5
60,4.6
61,4.6
62,4.6
63,4.7
64,5.0
65,4.0
66,4.7
67,5.0
68,5.0
69,4.5
70,5.0
71,5.0
72,4.5
73,5.0
74,4.0
75,4.7
76,5.0
77,5.0
78,4.6
79,4.6
80,4.6
81,4.6
82,4.7
83,4.6
84,4.6
85,4.6
86,4.6
87,4.6
88,4.6
89,4.6
90,4.6
91,4.7
92,4.6
93,4.6
94,4.6
95,4.6
96,4.6
97,4.5
98,4.6
99,4.6
100,4.4
101,4.6
102,4.7
103,5.0
104,4.0
105,4.7
106,5.0
107,5.0
108,4.5
109,5.0
110,5.0
111,4.5
112,5.0
113,4.0
114,4.7
115,5.0
116,5.0
